player_name,full_name
A Chopra,Aakash Chopra
A Flintoff,Andrew Flintoff
A Kumble,Anil Kumble
A Mishra,Amit Mishra
A Mithun,Abhinav Mithun
A Mukund,Abhinav Mukund
A Nehra,Aashish Nehra
A Nel,Andrew Nel
A Singh,Arshdeep Singh
A Symonds,Andrew Symonds
A Uniyal,Amit Uniyal
AA Bilakhia,Azhar Bilakhia
AA Jhunjhunwala,Abhishek Jhunjhunwala
AA Noffke,Ashley Noffke
AB Agarkar,Ajit Agarkar
AB Barath,Adrian Barath
AB Dinda,Ashok Dinda
AB McDonald,Andrew McDonald
AB de Villiers,AB De Villiers
AC Gilchrist,Adam Gilchrist
AC Voges,Adam Voges
AD Mascarenhas,Dimitri Mascarenhas
AD Mathews,Angelo Mathews
AG Murtaza,Ali Murtaza
AG Paunikar,Amit Paunikar
AJ Finch,aaron finch
AM Nayar,Abhishek Nayar
AM Rahane,Ajinkya Rahane
AM Salvi,Aavishkar Salvi
AN Ahmed,AN Ahmed
AN Ghosh,Arindam Ghosh
AP Dole,Aditya Dole
AP Tare,Aditya Tare
AS Raut,Abhishek Raut
AS Yadav,Arjun Yadav
AT Rayudu,Ambati Rayudu
Abdur Razzak,Abdur Razzak
Anirudh Singh,Anirudh Singh
Anureet Singh,Anureet Singh
B Akhil,Balachandra Akhil
B Chipli,Bharat Chipli
B Geeves,Brett Geeves
B Lee,Brett Lee
B Sumanth,Bodapati Sumanth
BAW Mendis,Ajantha Mendis
BB McCullum,Brendon
BJ Hodge,Brad Hodge
Bipul Sharma,Bipul Sharma
C Ganapathy,Chandrasekar Ganapathy
C Madan,Chandan Madan
C Nanda,Chetanya Nanda
CA Pujara,Cheteshwar Pujara
CH Gayle,Christopher Henry Gayle
CK Kapugedera,Chamara Kapugedera
CK Langeveldt,Charl Langeveldt
CL White,Cameron White
CRD Fernando,Dilhara Fernando
D Kalyankrishna,Kalyankrishna
D Salunkhe,Dinesh Salunkhe
D du Preez,Dillon du Preez
DA Warner,David Warner
DB Das,Debabrata Das
DB Ravi Teja,Ravi Teja
DE Bollinger,Doug Bollinger
DJ Bravo,DJ Bravo
DJ Hussey,David Hussey
DJ Thornely,Dominic
DL Vettori,Daniel Vettori
DNT Zoysa,Nuwan Zoysa
DP Nannes,Dirk Nannes
DP Vijaykumar,Paidikalva Vijaykumar
DPMD Jayawardene,Mahela Jayawardene
DR Martyn,Damien Martyn
DR Smith,Dwayne
DS Kulkarni,Dhawal Kulkarni
DS Lehmann,Darren Lehmann
DT Patil,Devraj Patil
DW Steyn,Dale Steyn
EJG Morgan,Eoin Morgan
FH Edwards,Fidel Edwards
FY Fazal,Faiz Fazal
G Gambhir,Gautam Gambhir
GC Smith,Graeme Smith
GD McGrath,Glenn
GJ Bailey,George Bailey
GR Napier,Graham Napier
Gagandeep Singh,Gagandeep Singh
H Das,Halhadar Das
HH Gibbs,Herschelle Gibbs
Harbhajan Singh,Harbhajan Singh
Harmeet Singh,Harmeet Singh
I Sharma,Ishant Sharma
IK Pathan,Irfan Pathan
Iqbal Abdulla,Iqbal Abdulla
J Arunkumar,J Arunkumar
J Botha,Johan Botha
J Theron,Rusty Theron
JA Morkel,Albie Morkel
JD Ryder,Jesse Ryder
JD Unadkat,Jaydev Unadkat
JDP Oram,Jacob Oram
JH Kallis,Jacques Kallis
JM Kemp,Justin Kemp
JP Duminy,JP Duminy
JR Hopes,James Hopes
Jaskaran Singh,Jaskaran Singh
Joginder Sharma,Joginder Sharma
K Goel,Karan Goel
KA Pollard,Kieron Pollard
KAJ Roach,Kemar Roach
KB Arun Karthik,Arun Karthik
KC Sangakkara,Kumar Sangakkara
KD Karthik,Dinesh Karthik
KM Jadhav,Kedar Jadhav
KP Appanna,KP Appanna
KP Pietersen,Kevin Pietersen
KV Sharma,Karn Sharma
Kamran Akmal,Kamran Akmal
Kamran Khan,Kamran Khan
L Ablish,Love Ablish
L Balaji,Lakshmipathy Balaji
L Ronchi,Luke Ronchi
LA Carseldine,Lee Carseldine
LA Pomersbach,Luke Pomersbach
LPC Silva,Chamra Silva
